symbol_2025,symbol_2007
32.30,32.30
32.4,32.4
32.40,32.40
32.5,32.5
32.50,32.50
32.9,32.9
32.91,32.91
32.99,32.99
33,33
33.1,33.1
33.11,33.11
33.12,33.12
33.13,33.13
33.14,33.14
33.15,33.15
33.16,33.16
33.17,33.17
33.18,33.12
33.19,33.19
33.2,33.2
33.20,33.20
35,35
35.1,35.1
35.11,35.11
35.12,35.11
35.13,35.12
35.14,35.13
35.15,35.14
35.16,35.14
35.2,35.2
35.21,35.21
35.22,35.22
35.23,35.23
35.24,52.10
35.3,35.3
35.30,35.30
35.4,35.1
35.40,35.14
36,36
36.0,36.0
36.00,36.00
37,37
37.0,37.0
37.00,37.00
38,38
38.1,38.1
38.11,38.11
38.12,38.12
38.2,38.3
38.21,38.32
38.22,38.21
38.23,38.21
38.3,38.2
38.31,38.21
38.32,38.21
38.33,38.21
39,39
39.0,39.0
39.00,39.00
41,41
41.0,41.2
41.00,41.20
42,42
42.1,42.1
42.11,42.11
42.12,42.12
42.13,42.13
42.2,42.2
42.21,42.21
42.22,42.22
42.9,42.9
42.91,42.91
42.99,42.99
43,43
43.1,43.1
43.11,43.11
43.12,43.12
43.13,43.13
43.2,43.2
43.21,43.21
43.22,43.22
43.23,43.29
43.24,43.29
43.3,43.3
43.31,43.31
43.32,43.32
43.33,43.33
43.34,43.34
43.35,43.39
43.4,41.2
43.41,43.91
43.42,43.99
43.5,43.9
43.50,43.99
43.6,43.9
43.60,82.99
43.9,43.9
43.91,43.99
43.99,43.99
46,46
46.1,46.1
46.11,46.11
46.12,46.12
46.13,46.13
46.14,46.14
46.15,46.15
46.16,46.16
46.17,46.17
46.18,46.18
46.19,46.19
46.2,46.2
46.21,46.21
46.22,46.22
46.23,46.23
46.24,46.24
46.3,46.3
46.31,46.31
46.32,46.32
46.33,46.33
46.34,46.34
46.35,46.35
46.36,46.36
46.37,46.37
46.38,46.38
46.39,46.39
46.4,46.4
46.41,46.41
46.42,46.42
46.43,46.43
46.44,46.44
46.45,46.45
46.46,46.46
46.47,46.47
46.48,46.48
46.49,46.49
46.5,46.5
46.50,46.51
46.6,46.6
46.61,46.61
46.62,46.62
46.63,46.63
46.64,46.69
46.7,45.1
46.71,45.11
46.72,45.31
46.73,45.40
46.8,46.7
46.81,46.71
46.82,46.72
46.83,46.73
46.84,46.74
46.85,46.75
46.86,46.76
46.87,46.77
46.89,46.90
46.9,46.9
46.90,46.90
47,47
47.1,47.1
47.11,47.11
47.12,47.19
47.2,47.2
47.21,47.21
47.22,47.22
47.23,47.23
47.24,47.24
47.25,47.25
47.26,47.26
47.27,47.29
47.3,47.3
47.30,47.30
47.4,47.4
47.40,47.41
47.5,47.5
47.51,47.51
47.52,47.52
47.53,47.53
47.54,47.54
47.55,47.59
47.6,47.6
47.61,47.61
47.62,47.62
47.63,47.64
47.64,47.65
47.69,47.63
47.7,47.7
47.71,47.71
47.72,47.72
47.73,47.73
47.74,47.74
47.75,47.75
47.76,47.76
47.77,47.77
47.78,47.78
47.79,47.79
47.8,45.1
47.81,45.11
47.82,45.32
