typ,symbol,nazwa
DZIAŁ,22,PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH
GRUPA,22.1,Produkcja wyrobów z gumy
KLASA,22.11,"Produkcja, bieżnikowanie i regenerowanie opon z gumy oraz produkcja dętek"
PODKLASA,22.11.Z,"Produkcja, bieżnikowanie i regenerowanie opon z gumy oraz produkcja dętek"
KLASA,22.12,Produkcja pozostałych wyrobów z gumy
PODKLASA,22.12.Z,Produkcja pozostałych wyrobów z gumy
GRUPA,22.2,Produkcja wyrobów z tworzyw sztucznych
KLASA,22.21,"Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych"
PODKLASA,22.21.Z,"Produkcja płyt, arkuszy, rur i kształtowników z tworzyw sztucznych"
KLASA,22.22,Produkcja opakowań z tworzyw sztucznych
PODKLASA,22.22.Z,Produkcja opakowań z tworzyw sztucznych
KLASA,22.23,Produkcja drzwi i okien z tworzyw sztucznych
PODKLASA,22.23.Z,Produkcja drzwi i okien z tworzyw sztucznych
KLASA,22.24,Produkcja wyrobów dla budownictwa z tworzyw sztucznych
PODKLASA,22.24.Z,Produkcja wyrobów dla budownictwa z tworzyw sztucznych
KLASA,22.25,Obróbka i wykończanie wyrobów z tworzyw sztucznych
PODKLASA,22.25.Z,Obróbka i wykończanie wyrobów z tworzyw sztucznych
KLASA,22.26,Produkcja pozostałych wyrobów z tworzyw sztucznych
PODKLASA,22.26.Z,Produkcja pozostałych wyrobów z tworzyw sztucznych
DZIAŁ,23,PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH
GRUPA,23.1,Produkcja szkła i wyrobów ze szkła
KLASA,23.11,Produkcja szkła płaskiego
PODKLASA,23.11.Z,Produkcja szkła płaskiego
KLASA,23.12,Kształtowanie i obróbka szkła płaskiego
PODKLASA,23.12.Z,Kształtowanie i obróbka szkła płaskiego
KLASA,23.13,Produkcja szkła gospodarczego
PODKLASA,23.13.Z,Produkcja szkła gospodarczego
KLASA,23.14,Produkcja włókien szklanych
PODKLASA,23.14.Z,Produkcja włókien szklanych
KLASA,23.15,"Produkcja i obróbka pozostałego szkła, włączając szkło techniczne"
PODKLASA,23.15.Z,"Produkcja i obróbka pozostałego szkła, włączając szkło techniczne"
GRUPA,23.2,Produkcja wyrobów ogniotrwałych
KLASA,23.20,Produkcja wyrobów ogniotrwałych
PODKLASA,23.20.Z,Produkcja wyrobów ogniotrwałych
GRUPA,23.3,Produkcja ceramicznych materiałów budowlanych
KLASA,23.31,Produkcja ceramicznych kafli i płytek
PODKLASA,23.31.Z,Produkcja ceramicznych kafli i płytek
KLASA,23.32,"Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny"
PODKLASA,23.32.Z,"Produkcja cegieł, dachówek i materiałów budowlanych, z wypalanej gliny"
GRUPA,23.4,Produkcja pozostałych wyrobów z porcelany i ceramiki
KLASA,23.41,Produkcja ceramicznych wyrobów stołowych i ozdobnych
PODKLASA,23.41.Z,Produkcja ceramicznych wyrobów stołowych i ozdobnych
KLASA,23.42,Produkcja ceramicznych wyrobów sanitarnych
PODKLASA,23.42.Z,Produkcja ceramicznych wyrobów sanitarnych
KLASA,23.43,Produkcja ceramicznych izolatorów i osłon izolacyjnych
PODKLASA,23.43.Z,Produkcja ceramicznych izolatorów i osłon izolacyjnych
KLASA,23.44,Produkcja pozostałych technicznych wyrobów ceramicznych
PODKLASA,23.44.Z,Produkcja pozostałych technicznych wyrobów ceramicznych
KLASA,23.45,Produkcja pozostałych wyrobów ceramicznych
PODKLASA,23.45.Z,Produkcja pozostałych wyrobów ceramicznych
GRUPA,23.5,"Produkcja cementu, wapna i gipsu"
KLASA,23.51,Produkcja cementu
PODKLASA,23.51.Z,Produkcja cementu
KLASA,23.52,Produkcja wapna i gipsu
PODKLASA,23.52.Z,Produkcja wapna i gipsu
GRUPA,23.6,"Produkcja wyrobów z betonu, cementu i gipsu "
KLASA,23.61,Produkcja wyrobów budowlanych z betonu
PODKLASA,23.61.Z,Produkcja wyrobów budowlanych z betonu
KLASA,23.62,Produkcja wyrobów budowlanych z gipsu
PODKLASA,23.62.Z,Produkcja wyrobów budowlanych z gipsu
KLASA,23.63,Produkcja masy betonowej prefabrykowanej
PODKLASA,23.63.Z,Produkcja masy betonowej prefabrykowanej
KLASA,23.64,Produkcja zaprawy murarskiej
PODKLASA,23.64.Z,Produkcja zaprawy murarskiej
KLASA,23.65,Produkcja cementu wzmocnionego włóknem
PODKLASA,23.65.Z,Produkcja cementu wzmocnionego włóknem
KLASA,23.66,"Produkcja pozostałych wyrobów z betonu, cementu i gipsu"
PODKLASA,23.66.Z,"Produkcja pozostałych wyrobów z betonu, cementu i gipsu"
GRUPA,23.7,"Cięcie, formowanie i wykończanie kamienia"
KLASA,23.70,"Cięcie, formowanie i wykończanie kamienia"
PODKLASA,23.70.A,"Produkcja nagrobków, grobowców i płyt nagrobnych z kamienia"
PODKLASA,23.70.B,"Produkcja pozostałych wyrobów z kamienia oraz cięcie, formowanie i wykończanie kamienia"
GRUPA,23.9,"Produkcja wyrobów ściernych i wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
KLASA,23.91,Produkcja wyrobów ściernych
PODKLASA,23.91.Z,Produkcja wyrobów ściernych
KLASA,23.99,"Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
PODKLASA,23.99.Z,"Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana"
DZIAŁ,24,PRODUKCJA METALI
GRUPA,24.1,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
KLASA,24.10,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
PODKLASA,24.10.Z,"Produkcja surówki, żelazostopów, żeliwa i stali oraz wyrobów hutniczych"
GRUPA,24.2,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
KLASA,24.20,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
PODKLASA,24.20.Z,"Produkcja rur, przewodów, kształtowników zamkniętych i łączników, ze stali"
GRUPA,24.3,Produkcja pozostałych wyrobów ze stali poddanej wstępnej obróbce
KLASA,24.31,Produkcja prętów ciągnionych na zimno
PODKLASA,24.31.Z,Produkcja prętów ciągnionych na zimno
KLASA,24.32,Produkcja wyrobów płaskich walcowanych na zimno
PODKLASA,24.32.Z,Produkcja wyrobów płaskich walcowanych na zimno
KLASA,24.33,Produkcja wyrobów formowanych na zimno
PODKLASA,24.33.Z,Produkcja wyrobów formowanych na zimno
KLASA,24.34,Produkcja drutu
PODKLASA,24.34.Z,Produkcja drutu
GRUPA,24.4,Produkcja metali szlachetnych i innych metali nieżelaznych
KLASA,24.41,Produkcja metali szlachetnych
PODKLASA,24.41.Z,Produkcja metali szlachetnych
KLASA,24.42,Produkcja aluminium
PODKLASA,24.42.A,Produkcja aluminium hutniczego
PODKLASA,24.42.B,Produkcja wyrobów z aluminium i stopów aluminium
KLASA,24.43,"Produkcja ołowiu, cynku i cyny"
PODKLASA,24.43.Z,"Produkcja ołowiu, cynku i cyny"
KLASA,24.44,Produkcja miedzi
PODKLASA,24.44.Z,Produkcja miedzi
KLASA,24.45,Produkcja pozostałych metali nieżelaznych
PODKLASA,24.45.Z,Produkcja pozostałych metali nieżelaznych
KLASA,24.46,Wytwarzanie paliw jądrowych
PODKLASA,24.46.Z,Wytwarzanie paliw jądrowych
GRUPA,24.5,Odlewnictwo metali
KLASA,24.51,Odlewnictwo żeliwa
PODKLASA,24.51.Z,Odlewnictwo żeliwa
KLASA,24.52,Odlewnictwo staliwa
PODKLASA,24.52.Z,Odlewnictwo staliwa
KLASA,24.53,Odlewnictwo metali lekkich
PODKLASA,24.53.Z,Odlewnictwo metali lekkich
KLASA,24.54,Odlewnictwo pozostałych metali nieżelaznych
PODKLASA,24.54.A,Odlewnictwo miedzi i stopów miedzi
PODKLASA,24.54.B,"Odlewnictwo pozostałych metali nieżelaznych, gdzie indziej niesklasyfikowane"
DZIAŁ,25,"PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ"
GRUPA,25.1,Produkcja metalowych elementów konstrukcyjnych
KLASA,25.11,Produkcja konstrukcji metalowych i ich części
PODKLASA,25.11.Z,Produkcja konstrukcji metalowych i ich części
KLASA,25.12,Produkcja drzwi i okien z metalu
PODKLASA,25.12.Z,Produkcja drzwi i okien z metalu
GRUPA,25.2,"Produkcja zbiorników, cystern i pojemników metalowych"
KLASA,25.21,"Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów"
PODKLASA,25.21.Z,"Produkcja grzejników centralnego ogrzewania, wytwornic pary i kotłów"
KLASA,25.22,"Produkcja pozostałych zbiorników, cystern i pojemników metalowych"
PODKLASA,25.22.Z,"Produkcja pozostałych zbiorników, cystern i pojemników metalowych"
GRUPA,25.3,Produkcja broni i amunicji
KLASA,25.30,Produkcja broni i amunicji
PODKLASA,25.30.Z,Produkcja broni i amunicji
GRUPA,25.4,Kucie i formowanie metali oraz metalurgia proszków
KLASA,25.40,Kucie i formowanie metali oraz metalurgia proszków
PODKLASA,25.40.Z,Kucie i formowanie metali oraz metalurgia proszków
GRUPA,25.5,Obróbka metali i nakładanie powłok na metale; obróbka mechaniczna elementów metalowych
KLASA,25.51,Nakładanie powłok na metale
PODKLASA,25.51.Z,Nakładanie powłok na metale
KLASA,25.52,Obróbka cieplna metali
PODKLASA,25.52.Z,Obróbka cieplna metali
KLASA,25.53,Obróbka mechaniczna elementów metalowych
PODKLASA,25.53.Z,Obróbka mechaniczna elementów metalowych
GRUPA,25.6,"Produkcja wyrobów nożowniczych, sztućców, narzędzi i wyrobów metalowych ogólnego przeznaczenia"
KLASA,25.61,Produkcja wyrobów nożowniczych i sztućców
PODKLASA,25.61.Z,Produkcja wyrobów nożowniczych i sztućców
KLASA,25.62,Produkcja zamków i zawiasów
PODKLASA,25.62.Z,Produkcja zamków i zawiasów
KLASA,25.63,Produkcja narzędzi
PODKLASA,25.63.Z,Produkcja narzędzi
GRUPA,25.9,Produkcja pozostałych gotowych wyrobów metalowych
KLASA,25.91,Produkcja pojemników metalowych
PODKLASA,25.91.Z,Produkcja pojemników metalowych
KLASA,25.92,Produkcja lekkich opakowań metalowych
PODKLASA,25.92.Z,Produkcja lekkich opakowań metalowych
KLASA,25.93,"Produkcja wyrobów z drutu, łańcuchów i sprężyn"
PODKLASA,25.93.Z,"Produkcja wyrobów z drutu, łańcuchów i sprężyn"
KLASA,25.94,Produkcja złączy i śrub
PODKLASA,25.94.Z,Produkcja złączy i śrub
KLASA,25.99,"Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana"
PODKLASA,25.99.Z,"Produkcja pozostałych gotowych wyrobów metalowych, gdzie indziej niesklasyfikowana"
DZIAŁ,26,"PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH"
GRUPA,26.1,Produkcja elektronicznych elementów i obwodów drukowanych
KLASA,26.11,Produkcja elementów elektronicznych
PODKLASA,26.11.Z,Produkcja elementów elektronicznych
KLASA,26.12,Produkcja elektronicznych obwodów drukowanych
PODKLASA,26.12.Z,Produkcja elektronicznych obwodów drukowanych
GRUPA,26.2,Produkcja komputerów i urządzeń peryferyjnych
KLASA,26.20,Produkcja komputerów i urządzeń peryferyjnych
PODKLASA,26.20.Z,Produkcja komputerów i urządzeń peryferyjnych
GRUPA,26.3,Produkcja sprzętu (tele)komunikacyjnego
KLASA,26.30,Produkcja sprzętu (tele)komunikacyjnego
PODKLASA,26.30.Z,Produkcja sprzętu (tele)komunikacyjnego
GRUPA,26.4,Produkcja elektronicznego sprzętu powszechnego użytku
KLASA,26.40,Produkcja elektronicznego sprzętu powszechnego użytku
PODKLASA,26.40.Z,Produkcja elektronicznego sprzętu powszechnego użytku
GRUPA,26.5,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych, zegarów i zegarków"
KLASA,26.51,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych"
PODKLASA,26.51.Z,"Produkcja instrumentów i przyrządów pomiarowych, kontrolnych i nawigacyjnych"
KLASA,26.52,Produkcja zegarków i zegarów
PODKLASA,26.52.Z,Produkcja zegarków i zegarów
GRUPA,26.6,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
KLASA,26.60,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
PODKLASA,26.60.Z,"Produkcja urządzeń napromieniowujących, sprzętu elektromedycznego i elektroterapeutycznego"
GRUPA,26.7,"Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego"
KLASA,26.70,"Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego"
PODKLASA,26.70.Z,"Produkcja instrumentów optycznych, niezapisanych magnetycznych i optycznych nośników informacji oraz sprzętu fotograficznego"
DZIAŁ,27,PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH
GRUPA,27.1,"Produkcja elektrycznych silników, prądnic, transformatorów, aparatury rozdzielczej i sterowniczej energii elektrycznej"
KLASA,27.11,"Produkcja elektrycznych silników, prądnic i transformatorów"
PODKLASA,27.11.Z,"Produkcja elektrycznych silników, prądnic i transformatorów"
KLASA,27.12,Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej
PODKLASA,27.12.Z,Produkcja aparatury rozdzielczej i sterowniczej energii elektrycznej
GRUPA,27.2,Produkcja baterii i akumulatorów
KLASA,27.20,Produkcja baterii i akumulatorów
PODKLASA,27.20.Z,Produkcja baterii i akumulatorów
GRUPA,27.3,Produkcja izolowanych przewodów i kabli oraz sprzętu instalacyjnego
KLASA,27.31,Produkcja kabli światłowodowych
PODKLASA,27.31.Z,Produkcja kabli światłowodowych
KLASA,27.32,Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli
PODKLASA,27.32.Z,Produkcja pozostałych elektronicznych i elektrycznych przewodów i kabli
KLASA,27.33,Produkcja sprzętu instalacyjnego
PODKLASA,27.33.Z,Produkcja sprzętu instalacyjnego
GRUPA,27.4,Produkcja sprzętu oświetleniowego
KLASA,27.40,Produkcja sprzętu oświetleniowego
PODKLASA,27.40.Z,Produkcja sprzętu oświetleniowego
GRUPA,27.5,Produkcja sprzętu gospodarstwa domowego
KLASA,27.51,Produkcja elektrycznego sprzętu gospodarstwa domowego
PODKLASA,27.51.Z,Produkcja elektrycznego sprzętu gospodarstwa domowego
KLASA,27.52,Produkcja nieelektrycznego sprzętu gospodarstwa domowego
PODKLASA,27.52.Z,Produkcja nieelektrycznego sprzętu gospodarstwa domowego
GRUPA,27.9,Produkcja pozostałego sprzętu elektrycznego
KLASA,27.90,Produkcja pozostałego sprzętu elektrycznego
PODKLASA,27.90.Z,Produkcja pozostałego sprzętu elektrycznego
DZIAŁ,28,"PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA"
GRUPA,28.1,Produkcja maszyn ogólnego przeznaczenia
KLASA,28.11,"Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych"
PODKLASA,28.11.Z,"Produkcja silników i turbin, z wyłączeniem silników lotniczych, samochodowych i motocyklowych"
KLASA,28.12,Produkcja sprzętu i wyposażenia do napędu hydraulicznego i pneumatycznego
PODKLASA,28.12.Z,Produkcja sprzętu i wyposażenia do napędu hydraulicznego i pneumatycznego
KLASA,28.13,Produkcja pozostałych pomp i sprężarek
PODKLASA,28.13.Z,Produkcja pozostałych pomp i sprężarek
KLASA,28.14,Produkcja pozostałych kurków i zaworów
PODKLASA,28.14.Z,Produkcja pozostałych kurków i zaworów
KLASA,28.15,"Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych"
PODKLASA,28.15.Z,"Produkcja łożysk, kół zębatych, przekładni zębatych i elementów napędowych"
GRUPA,28.2,Produkcja pozostałych maszyn ogólnego przeznaczenia
KLASA,28.21,"Produkcja pieców, palenisk i stałych urządzeń grzewczych dla gospodarstw domowych"
PODKLASA,28.21.Z,"Produkcja pieców, palenisk i stałych urządzeń grzewczych dla gospodarstw domowych"
KLASA,28.22,Produkcja urządzeń podnośnikowych i przeładunkowych
PODKLASA,28.22.Z,Produkcja urządzeń podnośnikowych i przeładunkowych
KLASA,28.23,"Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych"
PODKLASA,28.23.Z,"Produkcja maszyn i sprzętu biurowego, z wyłączeniem komputerów i urządzeń peryferyjnych"
KLASA,28.24,Produkcja narzędzi ręcznych mechanicznych
PODKLASA,28.24.Z,Produkcja narzędzi ręcznych mechanicznych
KLASA,28.25,"Produkcja przemysłowych urządzeń chłodniczych, wentylacyjnych i klimatyzacyjnych"
PODKLASA,28.25.Z,"Produkcja przemysłowych urządzeń chłodniczych, wentylacyjnych i klimatyzacyjnych"
KLASA,28.29,"Produkcja pozostałych maszyn ogólnego przeznaczenia, gdzie indziej niesklasyfikowana"
PODKLASA,28.29.Z,"Produkcja pozostałych maszyn ogólnego przeznaczenia, gdzie indziej niesklasyfikowana"
GRUPA,28.3,Produkcja maszyn dla rolnictwa i leśnictwa
KLASA,28.30,Produkcja maszyn dla rolnictwa i leśnictwa
PODKLASA,28.30.Z,Produkcja maszyn dla rolnictwa i leśnictwa
GRUPA,28.4,Produkcja maszyn do formowania metalu i narzędzi mechanicznych
KLASA,28.41,Produkcja maszyn do formowania metalu i obrabiarek do metalu
PODKLASA,28.41.Z,Produkcja maszyn do formowania metalu i obrabiarek do metalu
KLASA,28.42,Produkcja pozostałych narzędzi mechanicznych
PODKLASA,28.42.Z,Produkcja pozostałych narzędzi mechanicznych
GRUPA,28.9,Produkcja pozostałych maszyn specjalnego przeznaczenia
KLASA,28.91,Produkcja maszyn dla metalurgii
PODKLASA,28.91.Z,Produkcja maszyn dla metalurgii
KLASA,28.92,Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa
PODKLASA,28.92.Z,Produkcja maszyn dla górnictwa i do wydobywania oraz budownictwa
KLASA,28.93,"Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów"
PODKLASA,28.93.Z,"Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów"
KLASA,28.94,"Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego"
PODKLASA,28.94.Z,"Produkcja maszyn dla przemysłu tekstylnego, odzieżowego i skórzanego"
KLASA,28.95,Produkcja maszyn dla przemysłu papierniczego
PODKLASA,28.95.Z,Produkcja maszyn dla przemysłu papierniczego
KLASA,28.96,Produkcja maszyn do obróbki gumy lub tworzyw sztucznych 
PODKLASA,28.96.Z,Produkcja maszyn do obróbki gumy lub tworzyw sztucznych 
KLASA,28.97,Produkcja maszyn do wytwarzania przyrostowego
PODKLASA,28.97.Z,Produkcja maszyn do wytwarzania przyrostowego
KLASA,28.99,"Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana"
PODKLASA,28.99.Z,"Produkcja pozostałych maszyn specjalnego przeznaczenia, gdzie indziej niesklasyfikowana"
DZIAŁ,29,"PRODUKCJA POJAZDÓW SILNIKOWYCH, PRODUKCJA PRZYCZEP I NACZEP"
GRUPA,29.1,"Produkcja pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,29.10,"Produkcja pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,29.10.A,"Produkcja silników do pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,29.10.B,Produkcja samochodów osobowych
PODKLASA,29.10.C,Produkcja autobusów
PODKLASA,29.10.D,Produkcja pojazdów silnikowych przeznaczonych do przewozu towarów
PODKLASA,29.10.E,"Produkcja pozostałych pojazdów silnikowych, z wyłączeniem motocykli"
GRUPA,29.2,"Produkcja nadwozi do pojazdów silnikowych, z wyłączeniem motocykli; produkcja przyczep i naczep"
KLASA,29.20,"Produkcja nadwozi do pojazdów silnikowych, z wyłączeniem motocykli; produkcja przyczep i naczep"
PODKLASA,29.20.Z,"Produkcja nadwozi do pojazdów silnikowych, z wyłączeniem motocykli; produkcja przyczep i naczep"
GRUPA,29.3,Produkcja części i akcesoriów do pojazdów silnikowych
KLASA,29.31,Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych
PODKLASA,29.31.Z,Produkcja wyposażenia elektrycznego i elektronicznego do pojazdów silnikowych
KLASA,29.32,"Produkcja pozostałych części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,29.32.Z,"Produkcja pozostałych części i akcesoriów do pojazdów silnikowych, z wyłączeniem motocykli"
DZIAŁ,30,PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO
GRUPA,30.1,Produkcja statków i łodzi
KLASA,30.11,Produkcja cywilnych statków i konstrukcji pływających
PODKLASA,30.11.Z,Produkcja cywilnych statków i konstrukcji pływających
KLASA,30.12,Produkcja łodzi wypoczynkowych i sportowych
PODKLASA,30.12.Z,Produkcja łodzi wypoczynkowych i sportowych
KLASA,30.13,Produkcja wojskowych okrętów i jednostek pływających
PODKLASA,30.13.Z,Produkcja wojskowych okrętów i jednostek pływających
GRUPA,30.2,Produkcja lokomotyw kolejowych oraz taboru szynowego
KLASA,30.20,Produkcja lokomotyw kolejowych oraz taboru szynowego
PODKLASA,30.20.Z,Produkcja lokomotyw kolejowych oraz taboru szynowego
GRUPA,30.3,"Produkcja statków powietrznych, statków kosmicznych i podobnych maszyn"
KLASA,30.31,"Produkcja cywilnych statków powietrznych, statków kosmicznych i podobnych maszyn"
PODKLASA,30.31.Z,"Produkcja cywilnych statków powietrznych, statków kosmicznych i podobnych maszyn"
KLASA,30.32,"Produkcja wojskowych statków powietrznych, statków kosmicznych i podobnych maszyn"
PODKLASA,30.32.Z,"Produkcja wojskowych statków powietrznych, statków kosmicznych i podobnych maszyn"
GRUPA,30.4,Produkcja wojskowych pojazdów bojowych
KLASA,30.40,Produkcja wojskowych pojazdów bojowych
PODKLASA,30.40.Z,Produkcja wojskowych pojazdów bojowych
GRUPA,30.9,"Produkcja sprzętu transportowego, gdzie indziej niesklasyfikowana"
KLASA,30.91,Produkcja motocykli
PODKLASA,30.91.Z,Produkcja motocykli
KLASA,30.92,Produkcja rowerów i wózków inwalidzkich
PODKLASA,30.92.Z,Produkcja rowerów i wózków inwalidzkich
KLASA,30.99,"Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana"
PODKLASA,30.99.Z,"Produkcja pozostałego sprzętu transportowego, gdzie indziej niesklasyfikowana"
DZIAŁ,31,PRODUKCJA MEBLI
GRUPA,31.0,Produkcja mebli
KLASA,31.00,Produkcja mebli
PODKLASA,31.00.Z,Produkcja mebli
DZIAŁ,32,POZOSTAŁA PRODUKCJA WYROBÓW
GRUPA,32.1,"Produkcja wyrobów jubilerskich, biżuterii i podobnych wyrobów"
KLASA,32.11,Produkcja monet
PODKLASA,32.11.Z,Produkcja monet
KLASA,32.12,Produkcja wyrobów jubilerskich i podobnych
PODKLASA,32.12.Z,Produkcja wyrobów jubilerskich i podobnych
KLASA,32.13,Produkcja sztucznej biżuterii i wyrobów podobnych
PODKLASA,32.13.Z,Produkcja sztucznej biżuterii i wyrobów podobnych
GRUPA,32.2,Produkcja instrumentów muzycznych
KLASA,32.20,Produkcja instrumentów muzycznych
PODKLASA,32.20.Z,Produkcja instrumentów muzycznych
GRUPA,32.3,Produkcja sprzętu sportowego
KLASA,32.30,Produkcja sprzętu sportowego
PODKLASA,32.30.Z,Produkcja sprzętu sportowego
GRUPA,32.4,Produkcja gier i zabawek
KLASA,32.40,Produkcja gier i zabawek
PODKLASA,32.40.Z,Produkcja gier i zabawek
GRUPA,32.5,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
KLASA,32.50,"Produkcja urządzeń, instrumentów oraz wyrobów medycznych, włączając dentystyczne"
PODKLASA,32.50.A,"Produkcja urządzeń, instrumentów oraz wyrobów dentystycznych"
PODKLASA,32.50.B,"Pozostała produkcja urządzeń, instrumentów oraz wyrobów medycznych"
GRUPA,32.9,"Produkcja wyrobów, gdzie indziej niesklasyfikowana"
KLASA,32.91,"Produkcja mioteł, szczotek i pędzli"
PODKLASA,32.91.Z,"Produkcja mioteł, szczotek i pędzli"
KLASA,32.99,"Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana"
PODKLASA,32.99.Z,"Produkcja pozostałych wyrobów, gdzie indziej niesklasyfikowana"
DZIAŁ,33,"NAPRAWA, KONSERWACJA I INSTALOWANIE MASZYN I URZĄDZEŃ"
GRUPA,33.1,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń"
KLASA,33.11,Naprawa i konserwacja metalowych wyrobów gotowych
PODKLASA,33.11.Z,Naprawa i konserwacja metalowych wyrobów gotowych
KLASA,33.12,Naprawa i konserwacja maszyn
PODKLASA,33.12.Z,Naprawa i konserwacja maszyn
KLASA,33.13,Naprawa i konserwacja urządzeń elektronicznych i optycznych
PODKLASA,33.13.Z,Naprawa i konserwacja urządzeń elektronicznych i optycznych
KLASA,33.14,Naprawa i konserwacja urządzeń elektrycznych
PODKLASA,33.14.Z,Naprawa i konserwacja urządzeń elektrycznych
KLASA,33.15,Naprawa i konserwacja cywilnych statków i łodzi
PODKLASA,33.15.Z,Naprawa i konserwacja cywilnych statków i łodzi
KLASA,33.16,Naprawa i konserwacja cywilnych statków powietrznych i statków kosmicznych
PODKLASA,33.16.Z,Naprawa i konserwacja cywilnych statków powietrznych i statków kosmicznych
KLASA,33.17,Naprawa i konserwacja pozostałego cywilnego sprzętu transportowego
PODKLASA,33.17.Z,Naprawa i konserwacja pozostałego cywilnego sprzętu transportowego
KLASA,33.18,"Naprawa i konserwacja wojskowych pojazdów bojowych, okrętów, łodzi, statków powietrznych i statków kosmicznych"
PODKLASA,33.18.Z,"Naprawa i konserwacja wojskowych pojazdów bojowych, okrętów, łodzi, statków powietrznych i statków kosmicznych"
KLASA,33.19,Naprawa i konserwacja pozostałego sprzętu i wyposażenia
PODKLASA,33.19.Z,Naprawa i konserwacja pozostałego sprzętu i wyposażenia
GRUPA,33.2,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
KLASA,33.20,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
PODKLASA,33.20.Z,"Instalowanie maszyn przemysłowych, sprzętu i wyposażenia"
SEKCJA,D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH"
DZIAŁ,35,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH"
GRUPA,35.1,"Wytwarzanie, przesyłanie, dystrybucja energii elektrycznej, handel energią elektryczną"
KLASA,35.11,Wytwarzanie energii elektrycznej ze źródeł nieodnawialnych
PODKLASA,35.11.Z,Wytwarzanie energii elektrycznej ze źródeł nieodnawialnych
KLASA,35.12,Wytwarzanie energii elektrycznej ze źródeł odnawialnych
PODKLASA,35.12.A,Energetyka wiatrowa
PODKLASA,35.12.B,Energetyka słoneczna
PODKLASA,35.12.C,Energetyka geotermalna
PODKLASA,35.12.D,Energetyka biogazowa
PODKLASA,35.12.E,Energetyka wodna
PODKLASA,35.12.F,Wytwarzanie energii elektrycznej z pozostałych źródeł odnawialnych
