typ,symbol,nazwa
PODKLASA,03.12.Z,Rybołówstwo w wodach śródlądowych
GRUPA,03.2,Akwakultura
KLASA,03.21,Akwakultura w wodach morskich
PODKLASA,03.21.Z,Akwakultura w wodach morskich
KLASA,03.22,Akwakultura w wodach śródlądowych
PODKLASA,03.22.Z,Akwakultura w wodach śródlądowych
GRUPA,03.3,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
KLASA,03.30,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
PODKLASA,03.30.Z,Działalność usługowa wspomagająca rybołówstwo i akwakulturę
SEKCJA,B,GÓRNICTWO I WYDOBYWANIE
DZIAŁ,05,WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU)
GRUPA,05.1,Wydobywanie węgla kamiennego
KLASA,05.10,Wydobywanie węgla kamiennego
PODKLASA,05.10.Z,Wydobywanie węgla kamiennego
GRUPA,05.2,Wydobywanie węgla brunatnego (lignitu)
KLASA,05.20,Wydobywanie węgla brunatnego (lignitu)
PODKLASA,05.20.Z,Wydobywanie węgla brunatnego (lignitu)
DZIAŁ,06,GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO
GRUPA,06.1,Górnictwo ropy naftowej
KLASA,06.10,Górnictwo ropy naftowej
PODKLASA,06.10.Z,Górnictwo ropy naftowej
GRUPA,06.2,Górnictwo gazu ziemnego
KLASA,06.20,Górnictwo gazu ziemnego
PODKLASA,06.20.Z,Górnictwo gazu ziemnego
DZIAŁ,07,GÓRNICTWO RUD METALI
GRUPA,07.1,Górnictwo rud żelaza
KLASA,07.10,Górnictwo rud żelaza
PODKLASA,07.10.Z,Górnictwo rud żelaza
GRUPA,07.2,Górnictwo rud metali nieżelaznych
KLASA,07.21,Górnictwo rud uranu i toru
PODKLASA,07.21.Z,Górnictwo rud uranu i toru
KLASA,07.29,Górnictwo pozostałych rud metali nieżelaznych
PODKLASA,07.29.Z,Górnictwo pozostałych rud metali nieżelaznych
DZIAŁ,08,POZOSTAŁE GÓRNICTWO I WYDOBYWANIE
GRUPA,08.1,"Wydobywanie kamienia, piasku i gliny"
KLASA,08.11,"Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał"
PODKLASA,08.11.Z,"Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał"
KLASA,08.12,"Wydobywanie żwiru, piasku, gliny i kaolinu"
PODKLASA,08.12.Z,"Wydobywanie żwiru, piasku, gliny i kaolinu"
GRUPA,08.9,Górnictwo i wydobywanie gdzie indziej niesklasyfikowane
KLASA,08.91,Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów
